   1: 8C TS KC 9H 4S vs. 7D 2S 5D 3S AC; P2 wins!
  53: AD 3C 3D KS 3S vs. 5C 9C 8C TS 4S; P1 wins!
  54: JH 8D 5D 6H KD vs. QS QD 3D 6C KC; P2 wins!
  55: 8S JD 6C 3S 8C vs. TC QC 3C QH JS; P2 wins!
  56: KC JC 8H 2S 9H vs. 9C JH 8S 8C 9S; P2 wins!
  57: 8S 2H QH 4D QC vs. 9D KC AS TH 3C; P1 wins!
  58: 8S 6H TH 7C 2H vs. 6S 3C 3H AS 7S; P2 wins!
  59: QH 5S JS 4H 5H vs. TS 8H AH AC JC; P2 wins!
  60: 9D 8H 2S 4S TC vs. JC 3C 7H 3H 5C; P2 wins!
  61: 3D AD 3C 3S 4C vs. QC AS 5D TH 8C; P1 wins!
  62: 6S 9D 4C JS KH vs. AH TS JD 8H AD; P2 wins!
  63: 4C 6S 9D 7S AC vs. 4D 3D 3S TC JD; P2 wins!
  64: AD 7H 6H 4H JH vs. KC TD TS 7D 6S; P2 wins!
  65: 8H JH TC 3S 8D vs. 8C 9S 2C 5C 4D; P1 wins!
  66: 2C 9D KC QH TH vs. QS JC 9C 4H TS; P1 wins!
  67: QS 3C QD 8H KH vs. 4H 8D TD 8S AC; P1 wins!
  68: 7C 3C TH 5S 8H vs. 8C 9C JD TC KD; P2 wins!
  69: QC TC JD TS 8C vs. 3H 6H KD 7C TD; P1 wins!
  70: JH QS KS 9C 6D vs. 6S AS 9H KH 6H; P2 wins!
  71: 2H 4D AH 2D JH vs. 6H TD 5D 4H JD; P1 wins!
  72: KD 8C 9S JH QD vs. JS 2C QS 5C 7C; P1 wins!
  73: 4S TC 7H 8D 2S vs. 6H 7S 9C 7C KC; P2 wins!
  74: 8C 5D 7H 4S TD vs. QC 8S JS 4H KS; P2 wins!
  75: AD 8S JH 6D TD vs. KD 7C 6C 2D 7D; P2 wins!
  76: JC 6H 6S JS 4H vs. QH 9H AH 4C 3C; P1 wins!
  77: 6H 5H AS 7C 7S vs. 3D KH KC 5D 5C; P2 wins!
  78: JC 3D TD AS 4D vs. 6D 6S QH JD KS; P2 wins!
  79: 8C 7S 8S QH 2S vs. JD 5C 7H AH QD; P1 wins!
  80: 8S 3C 6H 6C 2C vs. 8D TD 7D 4C 4D; P1 wins!
  81: 5D QH KH 7C 2S vs. 7H JS 6D QC QD; P2 wins!
  82: AD 6C 6S 7D TH vs. 6H 2H 8H KH 4H; P2 wins!
  83: KS JS KD 5D 2D vs. KH 7D 9C 8C 3D; P1 wins!
  84: 9C 6D QD 3C KS vs. 3S 7S AH JD 2D; P2 wins!
  85: AH QH AS JC 8S vs. 8H 4C KC TH 7D; P1 wins!
  86: JC 5H TD 7C 5D vs. KD 4C AD 8H JS; P1 wins!
  87: KC 2H AC AH 7D vs. JH KH 5D 7S 6D; P1 wins!
  88: 9S 5S 9C 6H 8S vs. TD JD 9H 6C AC; P1 wins!
  89: 7D 8S 6D TS KD vs. 7H AC 5S 7C 5D; P2 wins!
  90: AH QC JC 4C TC vs. 8C 2H TS 2C 7D; P2 wins!
  91: KD KC 6S 3D 7D vs. 2S 8S 3H 5S 5C; P1 wins!
  92: 8S 5D 8H 4C 6H vs. KC 3H 7C 5S KD; P2 wins!
  93: JH 8C 3D 3C 6C vs. KC TD 7H 7C 4C; P1 wins!
  94: JC KC 6H TS QS vs. TD KS 8H 8C 9S; P2 wins!
  95: 6C 5S 9C QH 7D vs. AH KS KC 9S 2C; P2 wins!
  96: 4D 4S 8H TD 9C vs. 3S 7D 9D AS TH; P1 wins!
  97: 6S 7D 3C 6H 5D vs. KD 2C 5C 9D 9C; P2 wins!
  98: 2H KC 3D AD 3H vs. QD QS 8D JC 4S; P2 wins!
  99: 8C 3H 9C 7C AD vs. 5D JC 9D JS AS; P2 wins!
 100: 5D 9H 5C 7H 6S vs. 6C QC JC QD 9S; P2 wins!
 101: JC QS JH 2C 6S vs. 9C QC 3D 4S TC; P1 wins!
 102: 4H 5S 8D 3D 4D vs. 2S KC 2H JS 2C; P2 wins!
 103: TD 3S TH KD 4D vs. 7H JH JS KS AC; P2 wins!
 104: 7S 8C 9S 2D 8S vs. 7D 5C AD 9D AS; P2 wins!
 105: 8C 7H 2S 6C TH vs. 3H 4C 3S 8H AC; P2 wins!
 106: KD 5H JC 8H JD vs. 2D 4H TD JH 5C; P1 wins!
 107: 3D AS QH KS 7H vs. JD 8S 5S 6D 5H; P2 wins!
 108: 9S 6S TC QS JC vs. 5C 5D 9C TH 8C; P2 wins!
 109: 5H 3S JH 9H 2S vs. 2C 6S 7S AS KS; P2 wins!
 110: 8C QD JC QS TC vs. QC 4H AC KH 6C; P1 wins!
 111: TC 5H 7D JH 4H vs. 2H 8D JC KS 4D; P2 wins!
 112: 5S 9C KH KD 9H vs. 5C TS 3D 7D 2D; P1 wins!
 113: 5H AS TC 4D 8C vs. 2C TS 9D 3H 8D; P1 wins!
 114: 6H 8D 2D 9H JD vs. 6C 4S 5H 5S 6D; P2 wins!
 115: AD 9C JC 7D 6H vs. 9S 6D JS 9H 3C; P2 wins!
 116: AD JH TC QS 4C vs. 5D 9S 7C 9C AH; P2 wins!
 117: KD 6H 2H TH 8S vs. QD KS 9D 9H AS; P2 wins!
 118: 4H 8H 8D 5H 6C vs. AH 5S AS AD 8S; P2 wins!
 119: QS 5D 4S 2H TD vs. KS 5H AC 3H JC; P2 wins!
 120: 9C 7D QD KD AC vs. 6D 5H QH 6H 5S; P2 wins!
 121: KC AH QH 2H 7D vs. QS 3H KS 7S JD; P1 wins!
 122: 6C 8S 3H 6D KS vs. QD 5D 5C 8H TC; P1 wins!
 123: 9H 4D 4S 6S 9D vs. KH QC 4H 6C JD; P1 wins!
 124: TD 2D QH 4S 6H vs. JH KD 3C QD 8C; P2 wins!
 125: 4S 6H 7C QD 9D vs. AS AH 6S AD 3C; P2 wins!
 126: 2C KC TH 6H 8D vs. AH 5C 6D 8S 5D; P2 wins!
 127: TD TS 7C AD JC vs. QD 9H 3C KC 7H; P1 wins!
 128: 5D 4D 5S 8H 4H vs. 7D 3H JD KD 2D; P1 wins!
 129: JH TD 6H QS 4S vs. KD 5C 8S 7D 8H; P2 wins!
 130: AC 3D AS 8C TD vs. 7H KH 5D 6C JD; P1 wins!
 131: 9D KS 7C 6D QH vs. TC JD KD AS KC; P2 wins!
 132: JH 8S 5S 7S 7D vs. AS 2D 3D AD 2H; P2 wins!
 133: 2H 5D AS 3C QD vs. KC 6H 9H 9S 2C; P2 wins!
 134: 9D 5D TH 4C JH vs. 3H 8D TC 8H 9H; P2 wins!
 135: 6H KD 2C TD 2H vs. 6C 9D 2D JS 8C; P1 wins!
 136: KD 7S 3C 7C AS vs. QH TS AD 8C 2S; P1 wins!
 137: QS 8H 6C JS 4C vs. 9S QC AD TD TS; P2 wins!
 138: 2H 7C TS TC 8C vs. 3C 9H 2D 6D JC; P1 wins!
 139: TC 2H 8D JH KS vs. 6D 3H TD TH 8H; P2 wins!
 140: 9D TD 9H QC 5D vs. 6C 8H 8C KC TS; P1 wins!
 141: 2H 8C 3D AH 4D vs. TH TC 7D 8H KC; P2 wins!
 142: TS 5C 2D 8C 6S vs. KH AH 5H 6H KC; P2 wins!
 143: 5S 5D AH TC 4C vs. JD 8D 6H 8C 6C; P2 wins!
 144: KC QD 3D 8H 2D vs. JC 9H 4H AD 2S; P2 wins!
 145: TD 6S 7D JS KD vs. 4H QS 2S 3S 8C; P1 wins!
 146: 4C 9H JH TS 3S vs. 4H QC 5S 9S 9C; P2 wins!
 147: 2C KD 9H JS 9S vs. 3H JC TS 5D AC; P1 wins!
 148: AS 2H 5D AD 5H vs. JC 7S TD JS 4C; P2 wins!
 149: 2D 4S 8H 3D 7D vs. 2C AD KD 9C TS; P2 wins!
 150: 7H QD JH 5H JS vs. AC 3D TH 4C 8H; P1 wins!
 151: 6D KH KC QD 5C vs. AD 7C 2D 4H AC; P2 wins!
 152: 3D 9D TC 8S QD vs. 2C JC 4H JD AH; P2 wins!
 153: 6C TD 5S TC 8S vs. AH 2C 5D AS AC; P2 wins!
 154: TH 7S 3D AS 6C vs. 4C 7H 7D 4H AH; P2 wins!
 155: 5C 2H KS 6H 7S vs. 4H 5H 3D 3C 7H; P2 wins!
 156: 3C 9S AC 7S QH vs. 2H 3D 6S 3S 3H; P2 wins!
 157: 2D 3H AS 2C 6H vs. TC JS 6S 9C 6C; P2 wins!
 158: QH KD QD 6D AC vs. 6H KH 2C TS 8C; P1 wins!
 159: 8H 7D 3S 9H 5D vs. 3H 4S QC 9S 5H; P2 wins!
 160: 2D 9D 7H 6H 3C vs. 8S 5H 4D 3S 4S; P2 wins!
 161: KD 9S 4S TC 7S vs. QC 3S 8S 2H 7H; P1 wins!
 162: TC 3D 8C 3H 6C vs. 2H 6H KS KD 4D; P2 wins!
 163: KC 3D 9S 3H JS vs. 4S 8H 2D 6C 8S; P1 wins!
 164: 6H QS 6C TC QD vs. 9H 7D 7C 5H 4D; P2 wins!
 165: TD 9D 8D 6S 6C vs. TC 5D TS JS 8H; P2 wins!
 166: 4H KC JD 9H TC vs. 2C 6S 5H 8H AS; P2 wins!
 167: JS 9C 5C 6S 9D vs. JD 8H KC 4C 6D; P1 wins!
 168: 4D 8D 8S 6C 7C vs. 6H 7H 8H 5C KC; P1 wins!
 169: TC 3D JC 6D KS vs. 9S 6H 7S 9C 2C; P2 wins!
 170: 6C 3S KD 5H TS vs. 7D 9H 9S 6H KH; P2 wins!
 171: 3D QD 4C 6H TS vs. AC 3S 5C 2H KD; P2 wins!
 172: 4C AS JS 9S 7C vs. TS 7H 9H JC KS; P1 wins!
 173: 4H 8C JD 3H 6H vs. AD 9S 4S 5S KS; P2 wins!
 174: 4C 2C 7D 3D AS vs. 9C 2S QS KC 6C; P1 wins!
 175: 8S 5H 3D 2S AC vs. 9D 6S 3S 4D TD; P1 wins!
 176: QD TH 7S TS 3D vs. AC 7H 6C 5D QC; P1 wins!
 177: TC QD AD 9C QS vs. 5C 8D KD 3D 3C; P1 wins!
 178: 9D 8H AS 3S 7C vs. 8S JD 2D 8D KC; P2 wins!
 179: 4C TH AC QH JS vs. 8D 7D 7S 9C KH; P2 wins!
 180: 9D 8D 4C JH 2C vs. 2S QD KD TS 4H; P2 wins!
 181: 4D 6D 5D 2D JH vs. 3S 8S 3H TC KH; P2 wins!
 182: AD 4D 2C QS 8C vs. KD JH JD AH 5C; P2 wins!
 183: 5C 6C 5H 2H JH vs. 4H KS 7C TC 3H; P1 wins!
 184: 3C 4C QC 5D JH vs. 9C QD KH 8D TC; P2 wins!
 185: 3H 9C JS 7H QH vs. AS 7C 9H 5H JC; P2 wins!
 186: 2D 5S QD 4S 3C vs. KC 6S 6C 5C 4C; P2 wins!
 187: 5D KH 2D TS 8S vs. 9C AS 9S 7C 4C; P2 wins!
 188: 7C AH 8C 8D 5S vs. KD QH QS JH 2C; P2 wins!
 189: 8C 9D AH 2H AC vs. QC 5S 8H 7H 2C; P1 wins!
 190: QD 9H 5S QS QC vs. 9C 5H JC TH 4H; P1 wins!
 191: 6C 6S 3H 5H 3S vs. 6H KS 8D AC 7S; P1 wins!
 192: AC QH 7H 8C 4S vs. KC 6C 3D 3S TC; P2 wins!
 193: 9D 3D JS TH AC vs. 5H 3H 8S 3S TC; P2 wins!
 194: QD KH JS KS 9S vs. QC 8D AH 3C AC; P2 wins!
 195: 5H 6C KH 3S 9S vs. JH 2D QD AS 8C; P2 wins!
 196: 6C 4D 7S 7H 5S vs. JC 6S 9H 4H JH; P2 wins!
 197: AH 5S 6H 9S AD vs. 3S TH 2H 9D 8C; P1 wins!
 198: 4C 8D 9H 7C QC vs. AD 4S 9C KC 5S; P2 wins!
 199: 9D 6H 4D TC 4C vs. JH 2S 5D 3S AS; P1 wins!
 200: 2H 6C 7C KH 5C vs. AD QS TH JD 8S; P2 wins!
 201: 3S 4S 7S AH AS vs. KC JS 2S AD TH; P1 wins!
 202: JS KC 2S 7D 8C vs. 5C 9C TS 5H 9D; P2 wins!
 203: 7S 9S 4D TD JH vs. JS KH 6H 5D 2C; P2 wins!
 204: JD JS JC TH 2D vs. 3D QD 8C AC 5H; P1 wins!
 205: 7S KH 5S 9D 5D vs. TD 4S 6H 3C 2D; P1 wins!
 206: 4S 5D AC 8D 4D vs. 7C AD AS AH 9C; P2 wins!
 207: 6S TH TS KS 2C vs. QC AH AS 3C 4S; P2 wins!
 208: 2H 8C 3S JC 5C vs. 7C 3H 3C KH JH; P2 wins!
 209: 7S 3H JC 5S 6H vs. 4C 2S 4D KC 7H; P2 wins!
 210: 4D 7C 4H 9S 8S vs. 6S AD TC 6C JC; P2 wins!
 211: KH QS 3S TC 4C vs. 8H 8S AC 3C TS; P2 wins!
 212: QD QS TH 3C TS vs. 7H 7D AH TD JC; P1 wins!
 213: TD JD QC 4D 9S vs. 7S TS AD 7D AC; P2 wins!
 214: AH 7H 4S 6D 7C vs. 2H 9D KS JC TD; P1 wins!
 215: 7C AH JD 4H 6D vs. QS TS 2H 2C 5C; P2 wins!
 216: TC KC 8C 9S 4C vs. JS 3C JC 6S AH; P2 wins!
 217: AS 7D QC 3D 5S vs. JC JD 9D TD KH; P2 wins!
 218: TH 3C 2S 6H AH vs. AC 5H 5C 7S 8H; P2 wins!
 219: QC 2D AC QD 2S vs. 3S JD QS 6S 8H; P1 wins!
 220: KC 4H 3C 9D JS vs. 6H 3S 8S AS 8C; P2 wins!
 221: 7H KC 7D JD 2H vs. JC QH 5S 3H QS; P2 wins!
 222: 9H TD 3S 8H 7S vs. AC 5C 6C AH 7C; P2 wins!
 223: 8D 9H AH JD TD vs. QS 7D 3S 9C 8S; P1 wins!
 224: AH QH 3C JD KC vs. 4S 5S 5D TD KS; P2 wins!
 225: 9H 7H 6S JH TH vs. 4C 7C AD 5C 2D; P2 wins!
 226: 7C KD 5S TC 9D vs. 6S 6C 5D 2S TH; P2 wins!
 227: KC 9H 8D 5H 7H vs. 4H QC 3D 7C AS; P2 wins!
 228: 6S 8S QC TD 4S vs. 5C TH QS QD 2S; P2 wins!
 229: 8S 5H TH QC 9H vs. 6S KC 7D 7C 5C; P2 wins!
 230: 7H KD AH 4D KH vs. 5C 4S 2D KC QH; P1 wins!
 231: 6S 2C TD JC AS vs. 4D 6C 8C 4H 5S; P2 wins!
 232: JC TC JD 5S 6S vs. 8D AS 9D AD 3S; P2 wins!
 233: 6D 6H 5D 5S TC vs. 3D 7D QS 9D QD; P2 wins!
 234: 4S 6C 8S 3S 7S vs. AD KS 2D 7D 7C; P2 wins!
 235: KC QH JC AC QD vs. 5D 8D QS 7H 7D; P1 wins!
 236: JS AH 8S 5H 3D vs. TD 3H 4S 6C JH; P1 wins!
 237: 4S QS 7D AS 9H vs. JS KS 6D TC 5C; P1 wins!
 238: 2D 5C 6H TC 4D vs. QH 3D 9H 8S 6C; P2 wins!
 239: 6D 7H TC TH 5S vs. JD 5C 9C KS KD; P2 wins!
 240: 8D TD QH 6S 4S vs. 6C 8S KC 5C TC; P2 wins!
 241: 5S 3D KS AC 4S vs. 7D QD 4C TH 2S; P1 wins!
 242: TS 8H 9S 6S 7S vs. QH 3C AH 7H 8C; P1 wins!
 243: 4C 8C TS JS QC vs. 3D 7D 5D 7S JH; P2 wins!
 244: 8S 7S 9D QC AC vs. 7C 6D 2H JH KC; P1 wins!
 245: JS KD 3C 6S 4S vs. 7C AH QC KS 5H; P2 wins!
 246: KS 6S 4H JD QS vs. TC 8H KC 6H AS; P2 wins!
 247: KH 7C TC 6S TD vs. JC 5C 7D AH 3S; P1 wins!
 248: 3H 4C 4H TC TH vs. 6S 7H 6D 9C QH; P2 wins!
 249: 7D 5H 4S 8C JS vs. 4D 3D 8S QH KC; P2 wins!
 250: 3H 6S AD 7H 3S vs. QC 8S 4S 7S JS; P1 wins!
 251: 3S JD KH TH 6H vs. QS 9C 6C 2D QD; P2 wins!
 252: 4S QH 4D 5H KC vs. 7D 6D 8D TH 5S; P1 wins!
 253: TD AD 6S 7H KD vs. KH 9H 5S KC JC; P2 wins!
 254: 3H QC AS TS 4S vs. QD KS 9C 7S KC; P2 wins!
 255: TS 6S QC 6C TH vs. TC 9D 5C 5D KD; P1 wins!
 256: JS 3S 4H KD 4C vs. QD 6D 9S JC 9D; P2 wins!
 257: 8S JS 6D 4H JH vs. 6H 6S 6C KS KH; P2 wins!
 258: AC 7D 5D TC 9S vs. KH 6S QD 6H AS; P2 wins!
 259: AS 7H 6D QH 8D vs. TH 2S KH 5C 5H; P2 wins!
 260: 4C 7C 3D QC TC vs. 4S KH 8C 2D JS; P2 wins!
 261: 6H 5D 7S 5H 9C vs. 9H JH 8S TH 7H; P2 wins!
 262: AS JS 2S QD KH vs. 8H 4S AC 8D 8S; P2 wins!
 263: 3H 4C TD KD 8C vs. JC 5C QS 2D JD; P2 wins!
 264: TS 7D 5D 6C 2C vs. QS 2H 3C AH KS; P2 wins!
 265: 4S 7C 9C 7D JH vs. 6C 5C 8H 9D QD; P1 wins!
 266: 2S TD 7S 6D 9C vs. 9S QS KH QH 5C; P2 wins!
 267: JC 6S 9C QH JH vs. 8D 7S JS KH 2H; P1 wins!
 268: 8D 5H TH KC 4D vs. 4S 3S 6S 3D QS; P2 wins!
 269: 2D JD 4C TD 7C vs. 6D TH 7S JC AH; P2 wins!
 270: QS 7S 4C TH 9D vs. TS AD 4D 3H 6H; P2 wins!
 271: 2D 3H 7D JD 3D vs. AS 2S 9C QC 8S; P1 wins!
 272: 4H 9H 9C 2C 7S vs. JH KD 5C 5D 6H; P2 wins!
 273: TC 9H 8H JC 3C vs. 9S 8D KS AD KC; P2 wins!
 274: TS 5H JD QS QH vs. QC 8D 5D KH AH; P1 wins!
 275: 5D AS 8S 6S 4C vs. AH QC QD TH 7H; P2 wins!
 276: 3H 4H 7D 6S 4S vs. 9H AS 8H JS 9D; P2 wins!
 277: JD 8C 2C 9D 7D vs. 5H 5S 9S JC KD; P2 wins!
 278: KD 9C 4S QD AH vs. 7C AD 9D AC TD; P2 wins!
 279: 6S 4H 4S 9C 8D vs. KS TC 9D JH 7C; P1 wins!
 280: 5S JC 5H 4S QH vs. AC 2C JS 2S 9S; P1 wins!
 281: 8C 5H AS QD AD vs. 5C 7D 8S QC TD; P1 wins!
 282: JC 4C 8D 5C KH vs. QS 4D 6H 2H 2C; P2 wins!
 283: TH 4S 2D KC 3H vs. QD AC 7H AD 9D; P2 wins!
 284: KH QD AS 8H TH vs. KC 8D 7S QH 8C; P2 wins!
 285: JC 6C 7D 8C KH vs. AD QS 2H 6S 2D; P2 wins!
 286: JC KH 2D 7D JS vs. QC 5H 4C 5D AD; P1 wins!
 287: TS 3S AD 4S TD vs. 2D TH 6S 9H JH; P1 wins!
 288: 9H 2D QS 2C 4S vs. 3D KH AS AC 9D; P2 wins!
 289: KH 6S 8H 4S KD vs. 7D 9D TS QD QC; P1 wins!
 290: JH 5H AH KS AS vs. AD JC QC 5S KH; P1 wins!
 291: 5D 7D 6D KS KD vs. 3D 7C 4D JD 3S; P1 wins!
 292: AC JS 8D 5H 9C vs. 3H 4H 4D TS 2C; P2 wins!
 293: 6H KS KH 9D 7C vs. 2S 6S 8S 2H 3D; P1 wins!
 294: 6H AC JS 7S 3S vs. TD 8H 3H 4H TH; P2 wins!
 295: 9H TC QC KC 5C vs. KS 6H 4H AC 8S; P2 wins!
 296: TC 7D QH 4S JC vs. TS 6D 6C AC KH; P2 wins!
 297: QH 7D 7C JH QS vs. QD TH 3H 5D KS; P1 wins!
 298: 3D 5S 8D JS 4C vs. 2C KS 7H 9C 4H; P2 wins!
 299: 5H 8S 4H TD 2C vs. 3S QD QC 3H KC; P2 wins!
 300: QC JS KD 9C AD vs. 5S 9D 7D 7H TS; P2 wins!
 301: 8C JC KH 7C 7S vs. 6C TS 2C QD TH; P1 wins!
 302: 5S 9D TH 3C 7S vs. QH 8S 9C 2H 5H; P2 wins!
 303: 5D 9H 6H 2S JS vs. KH 3H 7C 2H 5S; P2 wins!
 304: JD 5D 5S 2C TC vs. 2S 6S 6C 3C 8S; P2 wins!
 305: 4D KH 8H 4H 2D vs. KS 3H 5C 2S 9H; P1 wins!
 306: 3S 2D TD 7H 8S vs. 6H JD KC 9C 8D; P2 wins!
 307: 6S QD JH 7C 9H vs. 5H 8S 8H TH TD; P2 wins!
 308: QS 7S TD 7D TS vs. JC KD 7C 3C 2C; P1 wins!
 309: 3C JD 8S 4H 2D vs. 2S TD AS 4D AC; P2 wins!
 310: AH KS 6C 4C 4S vs. 7D 8C 9H 6H AS; P2 wins!
 311: 5S 3C 9S 2C QS vs. KD 4D 4S AC 5D; P2 wins!
 312: 2D TS 2C JS KH vs. QH 5D 8C AS KC; P1 wins!
 313: KD 3H 6C TH 8S vs. 7S KH 6H 9S AC; P2 wins!
 314: 6H 7S 6C QS AH vs. 2S 2H 4H 5D 5H; P2 wins!
 315: 5H JC QD 2C 2S vs. JD AS QC 6S 7D; P1 wins!
 316: 6C TC AS KD 8H vs. 9D 2C 7D JH 9S; P2 wins!
 317: 2H 4C 6C AH 8S vs. TD 3H TH 7C TS; P2 wins!
 318: KD 4S TS 6C QH vs. 8D 9D 9C AH 7D; P2 wins!
 319: 6D JS 5C QD QC vs. 9C 5D 8C 2H KD; P1 wins!
 320: 3C QH JH AD 6S vs. AH KC 8S 6D 6H; P2 wins!
 321: 3D 7C 4C 7S 5S vs. 3S 6S 5H JC 3C; P1 wins!
 322: QH 7C 5H 3C 3S vs. 8C TS 4C KD 9C; P1 wins!
 323: QD 3S 7S 5H 7H vs. QH JC 7C 8C KD; P1 wins!
 324: 3C KD KH 2S 4C vs. TS AC 6S 2C 7C; P1 wins!
 325: 2C KH 3C 4C 6H vs. 4D 5H 5S 7S QD; P2 wins!
 326: 4D 7C 8S QD TS vs. 9D KS 6H KD 3C; P2 wins!
 327: QS 4D TS 7S 4C vs. 3H QD 8D 9S TC; P1 wins!
 328: TS QH AC 6S 3C vs. 9H 9D QS 8S 6H; P2 wins!
 329: 3S 7S 5D 4S JS vs. 2D 6C QH 6S TH; P2 wins!
 330: 4C 4H AS JS 5D vs. 3D TS 9C AC 8S; P1 wins!
 331: 6S 9C 7C 3S 5C vs. QS AD AS 6H 3C; P2 wins!
 332: 9S 8C 7H 3H 6S vs. 7C AS 9H JD KH; P2 wins!
 333: 3D 3H 7S 4D 6C vs. 7C AC 2H 9C TH; P1 wins!
 334: 4H 5S 3H AC TC vs. TH 9C 9H 9S 8D; P2 wins!
 335: 8D 9H 5H 4D 6C vs. 2H QD 6S 5D 3S; P2 wins!
 336: 4C 5C JD QS 4D vs. 3H TH AC QH 8C; P1 wins!
 337: QC 5S 3C 7H AD vs. 4C KS 4H JD 6D; P2 wins!
 338: QS AH 3H KS 9H vs. 2S JS JH 5H 2H; P2 wins!
 339: 2H 5S TH 6S TS vs. 3S KS 3C 5H JS; P1 wins!
 340: 2D 9S 7H 3D KC vs. JH 6D 7D JS TD; P2 wins!
 341: AC JS 8H 2C 8C vs. JH JC 2D TH 7S; P2 wins!
 342: 5D 9S 8H 2H 3D vs. TC AH JC KD 9C; P2 wins!
 343: 9D QD JC 2H 6D vs. KH TS 9S QH TH; P2 wins!
 344: 2C 8D 4S JD 5H vs. 3H TH TC 9C KC; P2 wins!
 345: AS 3D 9H 7D 4D vs. TH KH 2H 7S 3H; P1 wins!
 346: 4H 7S KS 2S JS vs. TS 8S 2H QD 8D; P2 wins!
 347: 5S 6H JH KS 8H vs. 2S QC AC 6S 3S; P2 wins!
 348: JC AS AD QS 8H vs. 6C KH 4C 4D QD; P1 wins!
